ward_code,ward_name,observation
E05013811,Cannon Hill,4366.7
E05013812,Colliers Wood,10439.8
E05013813,Cricket Green,4015.1
E05013814,Figge's Marsh,11036.4
E05013815,Graveney,12050.7
E05013816,Hillside (Merton),7386
E05013817,Lavender Fields,9353.4
E05013818,Longthornton,7857.3
E05013819,Lower Morden,4565.4
E05013820,Merton Park,4866.2
E05013821,Pollards Hill,5425.8
E05013822,Ravensbury,5933.9
E05013823,Raynes Park,6594.3
E05013824,St Helier,8056.4
E05013825,Village (Merton),1770.5
E05013826,Wandle (Merton),6905.3
E05013827,West Barnes,5478.4
E05013828,Wimbledon Park,5492.9
E05013829,Wimbledon Town & Dundonald,8831.2
E05013882,Cann Hall (Waltham Forest),16382.3
E05013883,Cathall,11702.4
E05013884,Chapel End,8431.3
E05013885,Chingford Green,2979.3
E05013886,Endlebury,5699.1
E05013887,Forest (Waltham Forest),8062
E05013888,Grove Green,16172.4
E05013889,Hale End & Highams Park South,5481.2
E05013890,Hatch Lane & Highams Park North,4740.5
E05013891,High Street (Waltham Forest),14099
E05013892,Higham Hill,4692.9
E05013893,Hoe Street,13349.5
E05013894,Larkswood,6234.9
E05013895,Lea Bridge (Waltham Forest),6238
E05013896,Leyton,6682.6
E05013897,Leytonstone,9334.1
E05013898,Markhouse,12339
E05013899,St James (Waltham Forest),3779.1
E05013900,Upper Walthamstow,4898.1
E05013901,Valley (Waltham Forest),6399.5
E05013902,William Morris,15901.8
E05013903,Wood Street,13491.8
E05013904,Beckton,3033.9
E05013905,Boleyn,19927.5
E05013906,Canning Town North,5716.4
E05013907,Canning Town South,10713
E05013908,Custom House,11379.2
E05013909,East Ham,15515.3
E05013910,East Ham South,10041.2
E05013911,Forest Gate North,13577.6
E05013912,Forest Gate South,14311.9
E05013913,Green Street East,22218.9
E05013914,Green Street West,19401.5
E05013915,Little Ilford,8938
E05013916,Manor Park (Newham),11920.2
E05013917,Maryland,13274
E05013918,Plaistow North,18469.2
E05013919,Plaistow South,11272.6
E05013920,Plaistow West & Canning Town East,13465.6
E05013921,Plashet,16426.8
E05013922,Royal Albert,3525.5
E05013923,Royal Victoria,6940.7
E05013924,Stratford,8065.8
E05013925,Stratford Olympic Park,6518.4
E05013926,Wall End,11575.5
E05013927,West Ham,11742.7
E05013928,Alexandra (Kingston upon Thames),4990.3
E05013929,Berrylands,5027.1
E05013930,Canbury Gardens,10674.5
E05013931,Chessington South & Malden Rushett,1271.8
E05013932,Coombe Hill,1769.7
E05013933,Coombe Vale,6196.9
E05013934,Green Lane & St James,5336.4
E05013935,Hook & Chessington North,5415.8
E05013936,King George's & Sunray,2397.1
E05013937,Kingston Gate,9977
E05013938,Kingston Town,6898.4
